language,alphabet_detector_avg,alphabet_detector_word,alphabet_detector_2words,alphabet_detector_text,langram_max_3grams_avg,langram_max_3grams_word,langram_max_3grams_2words,langram_max_3grams_text,langram_all_ngrams_avg,langram_all_ngrams_word,langram_all_ngrams_2words,langram_all_ngrams_text,langram_max_3grams_reordered_avg,langram_max_3grams_reordered_word,langram_max_3grams_reordered_2words,langram_max_3grams_reordered_text,langram_all_ngrams_reordered_avg,langram_all_ngrams_reordered_word,langram_all_ngrams_reordered_2words,langram_all_ngrams_reordered_text
English, 0,-,-,-, 84,59,91.9,99.7, 85,63,92.3,99.7, 91,79,94.5,99.8, 92,80,94.8,99.7
Spanish, 0,-,-,-, 76,53,75.5,99.4, 77,55,76.2,99.5, 89,81,87.4,99.6, 89,81,87.2,99.7
French, 2,-,0,5.4, 89,77,91.9,99.7, 90,78,92.7,99.7, 91,80,94.2,99.8, 92,81,94.7,99.7
Indonesian, 0,-,-,-, 68,40,67.8,97.2, 69,42,69,97.4, 85,71,85.4,97.7, 84,70,84.8,97.7
Portuguese, 24,4,6.8,62.5, 82,64,82.7,99.1, 83,66,84.1,99.2, 83,63,85,99.2, 83,65,85.9,99.3
German, 7,2,2.2,17.2, 91,80,94.5,99.7, 92,81,94.6,99.7, 93,85,95.7,99.7, 94,85,95.7,99.8
Swahili, 0,-,-,-, 88,73,92.5,99.2, 89,74,92.6,99.2, 91,80,94,99.3, 91,80,94.2,99.2
Vietnamese, 68,37,67.9,98.8, 91,76,98.2,99.6, 91,76,98.2,99.6, 92,78,98.3,99.6, 92,78,98.4,99.6
Hausa, 11,4,4.3,25.1, 88,73,92.9,99.1, 88,73,92.8,99.1, 91,78,94.1,99.2, 91,78,94,99.2
Turkish, 1,0,0,3.1, 90,78,93.3,99.5, 90,78,93.3,99.6, 93,85,95.3,99.5, 94,86,95.7,99.6
Filipino, 0,-,-,-, 85,68,88,99.5, 85,69,87.7,99.6, 90,78,92.1,99.6, 90,79,92.3,99.7
Javanese, 0,-,-,-, 76,46,83.2,98.9, 77,47,83.3,98.9, 79,53,85.7,98.9, 80,54,85.7,98.9
Italian, 0,-,-,-, 82,63,84.1,98, 82,64,84.4,97.9, 87,73,89,98.1, 86,72,88.6,98.2
UzbekNorthern, 18,6,10.3,36.3, 96,90,97.9,99.7, 96,90,98,99.7, 96,91,98.1,99.7, 96,91,98.2,99.7
Yoruba, 26,4,8.3,64, 89,74,92.5,99.1, 89,75,92.9,99.1, 89,75,93,99.1, 90,76,93.4,99.1
Igbo, 21,1,3,59.4, 88,72,93,98.8, 89,73,93.3,98.8, 89,74,93.4,98.8, 89,75,93.8,98.8
Polish, 33,7,14.6,76.3, 93,85,95.1,98.2, 93,86,95.2,98.2, 95,90,96.1,98.5, 95,90,96.2,98.5
Lingala, 0,0,0.1,0.4, 91,78,95,99.2, 91,79,95,99.2, 92,81,95.9,99.3, 93,82,96,99.4
