language,lingua_avg,lingua_word,lingua_2words,lingua_text,langram_max_3grams_avg,langram_max_3grams_word,langram_max_3grams_2words,langram_max_3grams_text,langram_all_ngrams_avg,langram_all_ngrams_word,langram_all_ngrams_2words,langram_all_ngrams_text
English, 74,47,75,99, 86,65,94,99, 87,68,94,99
Spanish, 74,53,70,98, 86,71,88,99, 86,71,87,99
French, 85,71,84,98, 91,81,94,99, 92,82,95,99
Indonesian, 53,30,51,78, 78,57,78,98, 78,57,79,98
Portuguese, 76,57,74,97, 88,73,91,99, 88,74,91,99
German, 86,72,85,99, 92,82,96,99, 93,83,96,99
Swahili, 78,58,78,97, 91,80,95,99, 92,81,95,99
Vietnamese, 83,67,85,98, 92,79,98,99, 92,79,98,99
Turkish, 85,71,86,97, 93,84,96,99, 93,84,96,99
Filipino, 78,58,77,98, 92,81,96,99, 92,82,95,99
Italian, 78,61,77,97, 90,78,94,98, 90,77,93,98
Yoruba, 81,63,82,97, 91,78,95,99, 91,80,95,99
Polish, 89,82,90,96, 94,88,96,98, 94,88,96,98
Malay, 63,35,66,89, 76,55,76,97, 76,55,76,97
Zulu, 79,61,79,96, 90,79,91,99, 90,80,91,99
Dutch, 72,52,70,94, 88,74,91,98, 88,75,91,98
Somali, 89,77,90,99, 96,91,98,99, 96,91,98,99
Romanian, 80,64,80,97, 91,79,94,99, 91,79,94,99
Xhosa, 72,53,71,92, 89,79,91,99, 89,78,90,99
Afrikaans, 73,53,68,96, 88,75,91,99, 89,76,92,99
Sesotho, 59,39,56,83, 82,67,85,95, 84,72,86,96
Shona, 88,76,92,98, 97,93,98,99, 97,93,98,99
Hungarian, 91,86,93,95, 95,91,97,98, 95,91,97,98
Czech, 81,68,80,97, 91,81,92,99, 91,82,93,99
Swedish, 77,61,77,92, 87,75,90,96, 88,76,90,97
Ganda, 88,78,89,98, 96,92,97,99, 96,92,98,99
AzerbaijaniNorth, 89,79,90,99, 94,86,96,99, 94,87,96,99
Catalan, 67,44,61,96, 86,72,88,99, 87,73,89,99
Tswana, 68,51,62,90, 91,81,92,98, 91,82,93,98
Slovak, 80,67,80,94, 90,81,92,98, 91,82,92,98
Tsonga, 81,63,81,98, 92,82,96,99, 93,83,96,99
Croatian, 57,43,53,73, 70,55,67,87, 69,53,66,87
Danish, 70,55,67,89, 86,74,86,97, 86,75,87,97
Finnish, 92,86,94,95, 96,93,97,98, 96,93,97,98
NorwegianBokmal, 57,39,46,87, 81,63,82,98, 83,66,84,98
NorwegianNynorsk, 56,35,53,80, 81,66,81,96, 81,65,80,96
Lithuanian, 90,83,91,96, 96,91,98,99, 96,91,98,99
Bosnian, 49,31,45,70, 73,56,70,93, 74,57,71,93
Slovenian, 73,59,70,91, 88,76,91,97, 89,77,91,98
Esperanto, 74,62,66,93, 95,87,97,99, 95,87,97,99
AlbanianTosk, 83,66,86,98, 91,80,95,99, 92,81,95,99
Irish, 92,85,92,98, 95,92,97,98, 96,92,97,98
Latvian, 87,79,89,94, 94,87,96,98, 94,87,96,98
Estonian, 91,84,93,96, 96,93,98,97, 96,93,98,97
Basque, 88,75,92,97, 97,92,99,99, 97,92,99,99
Welsh, 82,67,80,99, 93,84,96,99, 93,85,96,99
Icelandic, 87,75,89,99, 94,88,97,99, 95,88,97,99
Maori, 81,66,80,98, 94,90,98,95, 94,90,98,95
ChineseMandarinSimplified, 100,100,100,100, 81,56,89,97, 81,56,89,97
Japanese, 31,-,-,94, 78,49,87,99, 78,49,87,99
Korean, 33,-,-,99, 84,74,80,99, 84,74,80,99
Arabic, 96,91,97,99, 98,97,99,99, 98,97,99,99
Urdu, 85,69,89,97, 92,80,97,99, 93,82,98,99
PersianWestern, 85,70,89,96, 95,88,98,99, 95,88,98,99
Hindi, 74,62,74,87, 94,87,97,98, 94,88,97,98
Marathi, 79,66,77,95, 96,90,98,99, 96,90,97,99
Russian, 89,79,90,98, 95,88,96,99, 95,89,97,99
Ukrainian, 85,77,83,94, 94,87,96,99, 95,88,96,99
Kazakh, 93,86,94,98, 97,94,98,99, 97,95,99,99
Serbian, 81,66,80,98, 92,84,94,99, 92,84,93,99
Bulgarian, 79,65,75,97, 88,77,88,99, 88,78,89,99
MongolianHalh, 96,92,98,99, 99,97,99,99, 99,97,99,99
Belarusian, 91,84,92,98, 97,95,98,99, 97,95,98,99
Macedonian, 79,65,78,96, 89,79,91,99, 89,78,90,98
Bengali, 100,100,100,100, 100,100,100,100, 100,100,100,100
Hebrew, 99,99,100,99, 99,100,100,99, 99,100,100,99
Armenian, 99,99,99,99, 99,100,100,99, 99,100,100,99
Georgian, 100,100,100,100, 100,100,100,100, 100,100,100,100
Greek, 99,100,100,98, 99,100,100,98, 99,100,100,98
Gujarati, 100,100,100,100, 100,100,100,100, 100,100,100,100
PunjabiEastern, 100,100,100,100, 99,100,100,99, 99,100,100,99
Tamil, 99,100,100,99, 99,100,100,99, 99,100,100,99
Telugu, 100,100,100,100, 100,100,100,100, 100,100,100,100
Thai, 100,100,100,100, 100,100,100,100, 100,100,100,100
